,predict_model0,predict_model1,predict_model2,predict_model3,predict_model4,predict_model5,predict_model6,predict_model7,predict_model8,predict_model9,predict_model10,predict_model11,predict_model12,predict_model13,predict_model14,predict_model15,predict_model16,predict_model17,predict_model18,predict_model19,predict_model20,predict_model21,predict_model22,predict_model23,predict_model24,predict_model25,predict_model26,predict_model27,predict_model28,predict_model29,predict_model30,predict_model31,predict_model32
South Carolina,0.429712034311,0.292997485663,0.504285635353,0.34552547049,0.456876208206,0.408367018562,0.350054854287,0.401190178572,0.361429690678,0.400672244003,0.401154829002,0.395915723302,0.404360829724,0.439211883875,0.311439168459,0.393592572272,0.495764624869,0.39840157893,0.456749785862,0.408710678762,0.422039740796,0.356472276182,0.195693646944,0.0911672333772,0.360930538055,0.393840216634,0.445434658487,0.372085031766,0.385505696031,0.29346140888,0.487562607838,0.353270687121,0.488838741585
South Dakota,0.20110243261,0.391188678486,0.554910109318,0.361138149513,0.289559997446,0.398675491271,0.352082336543,0.397181351081,0.341088824548,0.39523138883,0.403881781558,0.392162973461,0.411058983986,0.41227277939,0.294118693922,0.40060858769,0.335130079811,0.406151737455,0.360190201516,0.398785916886,0.256338490803,0.468184633568,0.429474304033,0.335149887241,0.516568577302,0.402759526941,0.282536529375,0.380315397321,0.242626285029,0.412239376934,0.504265297354,0.470909670501,0.513005402184
Tennessee,0.404638176479,0.279906500871,0.496042807341,0.339798727985,0.439096841614,0.405563948063,0.3479231938,0.396100064407,0.343860946521,0.39659464776,0.396440350945,0.391949116031,0.401639561596,0.44153983502,0.321523444652,0.390546307173,0.466385102694,0.399227532239,0.475504372625,0.398963832104,0.405153451269,0.388471592429,0.329387553192,0.208678669572,0.459905157409,0.390654654988,0.429627505957,0.366310300777,0.371131292817,0.274692903035,0.484170710668,0.3625558751,0.492840144402
Texas,0.334793352531,0.199769504333,0.489446513265,0.238097424375,0.371223629653,0.343126428097,0.376732012644,0.303883355204,0.206978556504,0.3085139391,0.25579777961,0.292178603622,0.249700530436,0.286479819757,0.133868165886,0.320958774836,0.265738052129,0.348349559718,0.443267299101,0.301808822344,0.361794549402,0.34529790425,0.218629004613,0.071090170103,0.37023000554,0.324986102856,0.372477211886,0.278820280573,0.318669059437,0.176927710336,0.445812483509,0.301819444763,0.469676219303
Utah,0.0995161360993,0.198000502359,0.344933248858,0.261348182872,0.145146651701,0.357457075888,0.176992051214,0.345113281717,0.158425866953,0.342963207447,0.235882688705,0.334086286056,0.245762025714,0.196761275986,0.013800285563,0.353203360956,0.196207998762,0.385382127685,0.421098517191,0.27105385903,0.132519061609,0.443400354562,0.435342448779,0.380581794327,0.603402702064,0.355712828992,0.127314477693,0.315227253962,0.0701287742069,0.214051124344,0.426454077468,0.323413085582,0.469749137094
Vermont,0.916749634751,0.896714046776,0.762925500106,0.686757495507,0.845312002641,0.524038997766,0.819641191889,0.547340136128,0.867981629893,0.544678086086,0.745706360293,0.553393302174,0.726898212326,0.611943315306,0.956442202423,0.541642522585,0.812876661263,0.52076703851,0.719478330245,0.556134397036,0.893569707344,0.549158583802,0.835480969625,0.908516115139,0.617196482876,0.543905064095,0.852016647133,0.602631504971,0.926759435254,0.847573516108,0.615782121182,0.662843018365,0.578567726895
Virginia,0.646718245246,0.390785463721,0.560209729899,0.419793769884,0.624184352824,0.434154099003,0.595178184563,0.428717068908,0.610103979064,0.430260015216,0.595976121957,0.427435210077,0.584686360138,0.442139544639,0.56875212079,0.427344884412,0.620835601327,0.433878616608,0.638715174599,0.418255107422,0.636843893263,0.442358815409,0.651770644143,0.599802154979,0.589883265592,0.432439265557,0.610444795122,0.428369276215,0.588137098421,0.434854851869,0.52208206612,0.435950299935,0.517253732402
Washington,0.803573396841,0.933562013815,0.6061787314,0.823413772858,0.696269820554,0.612389776421,0.71176358313,0.64252704158,0.740767753131,0.643084334885,0.65509474247,0.658777273249,0.641648251406,0.536337760283,0.774336241596,0.64489331774,0.648912272074,0.615349897761,0.611390394643,0.642234159867,0.749010082047,0.596689325544,0.767215114483,0.906735653488,0.604037566217,0.647308215024,0.694074253089,0.741764089376,0.769377792102,0.748036342525,0.577440695296,0.606412269094,0.557849246216
West Virginia,0.423777316642,0.328371187359,0.525536462169,0.310734603046,0.428783607662,0.378205346345,0.384469942126,0.371159387933,0.409896392466,0.369943016303,0.426992142277,0.36470596442,0.429914181672,0.532052797094,0.69150949452,0.368581402589,0.464412571712,0.378970561303,0.454590669232,0.38690921792,0.405094351559,0.422302022928,0.504084901867,0.601368090452,0.624470655879,0.366664214008,0.423105860319,0.339149419561,0.385026003345,0.381169968669,0.516248386314,0.434393302975,0.520697213872
Wisconsin,0.548138284895,0.815684504408,0.647758681991,0.71840978325,0.578778062094,0.561680383213,0.625352336526,0.58344302316,0.623954874596,0.58365051368,0.610206346582,0.59562632695,0.608247750745,0.546491181274,0.687247123492,0.583772809978,0.565368804752,0.563711708297,0.574988435316,0.588031182978,0.588043272012,0.56709333477,0.655896163893,0.753731657936,0.563693490871,0.587799953421,0.58195250942,0.654498863163,0.605897503548,0.664416649054,0.53927953541,0.568793727262,0.530800246532
Wyoming,0.219086445264,0.319728052265,0.423118296853,0.296432752596,0.238870389108,0.356413654097,0.379810240217,0.349539331561,0.392949011914,0.348111116613,0.435209694547,0.342934632179,0.440856659113,0.391366224912,0.454493250323,0.363464380405,0.286757334671,0.375420233882,0.310107931641,0.36196641462,0.209581133816,0.461822366088,0.567210139245,0.457000637411,0.588972966519,0.361190754224,0.22601955089,0.323148609111,0.198627185737,0.404135856189,0.530843824221,0.473974350528,0.53670961137
Wyoming,0.998164830473,0.911024764472,0.703036271314,0.986454170564,0.996764706618,0.857692674595,0.999899331891,0.878826993552,0.999921668138,0.883216342596,0.999592512427,0.897183198176,0.999417439235,0.832256438285,0.999993086696,0.900959076087,0.995659530844,0.883820465664,0.998470585795,0.870775537659,0.998055128937,0.730507084054,0.998269067648,0.99620681456,0.780768923323,0.898128844078,0.997373965305,0.956019041178,0.999096536305,0.982269435973,0.751307604991,0.81965618528,0.653535795245
