,cand_nm,census_region,contb_receipt_dt_format,contb_receipt_amt
80,"Obama, Barack",Midwest,2011-11-02 00:00:00,-510.0
81,"Obama, Barack",Midwest,2011-11-04 00:00:00,-1265.0
82,"Obama, Barack",Midwest,2011-11-08 00:00:00,-8303.0
83,"Obama, Barack",Midwest,2011-11-09 00:00:00,-6095.0
84,"Obama, Barack",Midwest,2011-11-10 00:00:00,-25.0
85,"Obama, Barack",Midwest,2011-11-11 00:00:00,-4995.0
86,"Obama, Barack",Midwest,2011-11-15 00:00:00,-1100.0
87,"Obama, Barack",Midwest,2011-11-16 00:00:00,-1500.0
88,"Obama, Barack",Midwest,2011-11-18 00:00:00,-900.0
89,"Obama, Barack",Midwest,2011-11-22 00:00:00,-392.0
90,"Obama, Barack",Midwest,2011-11-24 00:00:00,-400.0
91,"Obama, Barack",Midwest,2011-11-28 00:00:00,-350.0
92,"Obama, Barack",Midwest,2011-11-29 00:00:00,-1352.0
93,"Obama, Barack",Midwest,2011-12-02 00:00:00,-1060.0
94,"Obama, Barack",Midwest,2011-12-07 00:00:00,-25.0
95,"Obama, Barack",Midwest,2011-12-12 00:00:00,-9.0
96,"Obama, Barack",Midwest,2011-12-14 00:00:00,-230.0
97,"Obama, Barack",Midwest,2011-12-15 00:00:00,-141.0
98,"Obama, Barack",Midwest,2011-12-16 00:00:00,-6407.0
99,"Obama, Barack",Midwest,2011-12-18 00:00:00,-18.0
100,"Obama, Barack",Midwest,2011-12-20 00:00:00,-5312.0
101,"Obama, Barack",Midwest,2011-12-21 00:00:00,-1350.0
102,"Obama, Barack",Midwest,2011-12-22 00:00:00,-6.0
103,"Obama, Barack",Midwest,2011-12-28 00:00:00,-2500.0
104,"Obama, Barack",Midwest,2011-12-30 00:00:00,-650.0
105,"Obama, Barack",Midwest,2011-12-31 00:00:00,-3970.0
106,"Obama, Barack",Midwest,2012-01-01 00:00:00,-1185.0
107,"Obama, Barack",Midwest,2012-01-03 00:00:00,-2196.0
108,"Obama, Barack",Midwest,2012-01-04 00:00:00,-475.0
109,"Obama, Barack",Midwest,2012-01-05 00:00:00,-400.0
110,"Obama, Barack",Midwest,2012-01-10 00:00:00,-815.0
111,"Obama, Barack",Midwest,2012-01-11 00:00:00,-1452.0
112,"Obama, Barack",Midwest,2012-01-14 00:00:00,-2240.0
113,"Obama, Barack",Midwest,2012-01-15 00:00:00,-47.0
114,"Obama, Barack",Midwest,2012-01-17 00:00:00,-811.0
115,"Obama, Barack",Midwest,2012-01-18 00:00:00,-657.0
116,"Obama, Barack",Midwest,2012-01-20 00:00:00,-4284.0
117,"Obama, Barack",Midwest,2012-01-21 00:00:00,-5265.0
118,"Obama, Barack",Midwest,2012-01-22 00:00:00,-3.0
119,"Obama, Barack",Midwest,2012-01-23 00:00:00,-45.0
120,"Obama, Barack",Midwest,2012-01-24 00:00:00,-409.0
121,"Obama, Barack",Midwest,2012-01-26 00:00:00,-1250.0
122,"Obama, Barack",Midwest,2012-01-27 00:00:00,-1175.0
123,"Obama, Barack",Midwest,2012-01-28 00:00:00,-250.0
124,"Obama, Barack",Midwest,2012-01-30 00:00:00,-50.0
125,"Obama, Barack",Midwest,2012-01-31 00:00:00,-600.0
126,"Obama, Barack",Midwest,2012-02-02 00:00:00,-1945.0
127,"Obama, Barack",Midwest,2012-02-03 00:00:00,-5.0
128,"Obama, Barack",Midwest,2012-02-06 00:00:00,-15145.0
129,"Obama, Barack",Midwest,2012-02-07 00:00:00,-20552.0
130,"Obama, Barack",Midwest,2012-02-08 00:00:00,-67.75
131,"Obama, Barack",Midwest,2012-02-09 00:00:00,-107.0
132,"Obama, Barack",Midwest,2012-02-10 00:00:00,-760.0
133,"Obama, Barack",Midwest,2012-02-13 00:00:00,-412.0
134,"Obama, Barack",Midwest,2012-02-14 00:00:00,-1410.0
135,"Obama, Barack",Midwest,2012-02-16 00:00:00,-250.0
136,"Obama, Barack",Midwest,2012-02-17 00:00:00,-60.0
137,"Obama, Barack",Midwest,2012-02-20 00:00:00,-250.0
138,"Obama, Barack",Midwest,2012-02-21 00:00:00,-1975.0
139,"Obama, Barack",Midwest,2012-02-23 00:00:00,-495.0
140,"Obama, Barack",Midwest,2012-02-24 00:00:00,-588.0
141,"Obama, Barack",Midwest,2012-02-27 00:00:00,-1245.0
142,"Obama, Barack",Midwest,2012-02-28 00:00:00,-1984.0
143,"Obama, Barack",Midwest,2012-02-29 00:00:00,-2845.0
144,"Obama, Barack",Midwest,2012-03-01 00:00:00,-1490.0
145,"Obama, Barack",Midwest,2012-03-02 00:00:00,-3.0
146,"Obama, Barack",Midwest,2012-03-05 00:00:00,-43.4
147,"Obama, Barack",Midwest,2012-03-06 00:00:00,-500.0
148,"Obama, Barack",Midwest,2012-03-07 00:00:00,-775.0
149,"Obama, Barack",Midwest,2012-03-08 00:00:00,-2880.0
150,"Obama, Barack",Midwest,2012-03-09 00:00:00,-2395.25
151,"Obama, Barack",Midwest,2012-03-12 00:00:00,-500.0
152,"Obama, Barack",Midwest,2012-03-13 00:00:00,-100.0
153,"Obama, Barack",Midwest,2012-03-14 00:00:00,-50.0
154,"Obama, Barack",Midwest,2012-03-15 00:00:00,-1000.0
155,"Obama, Barack",Midwest,2012-03-16 00:00:00,-1068.0
156,"Obama, Barack",Midwest,2012-03-19 00:00:00,-1000.0
157,"Obama, Barack",Midwest,2012-03-20 00:00:00,-3200.0
158,"Obama, Barack",Midwest,2012-03-21 00:00:00,-1250.0
159,"Obama, Barack",Midwest,2012-03-22 00:00:00,-675.0
160,"Obama, Barack",Midwest,2012-03-26 00:00:00,-1550.0
161,"Obama, Barack",Midwest,2012-03-27 00:00:00,-4980.0
162,"Obama, Barack",Midwest,2012-03-28 00:00:00,-10045.0
163,"Obama, Barack",Midwest,2012-03-29 00:00:00,-2640.0
164,"Obama, Barack",Midwest,2012-03-30 00:00:00,-2722.25
165,"Obama, Barack",Midwest,2012-03-31 00:00:00,-3350.0
166,"Obama, Barack",Midwest,2012-04-02 00:00:00,-1010.0
167,"Obama, Barack",Midwest,2012-04-03 00:00:00,-1844.0
168,"Obama, Barack",Midwest,2012-04-04 00:00:00,-4772.0
169,"Obama, Barack",Midwest,2012-04-05 00:00:00,-235.0
170,"Obama, Barack",Midwest,2012-04-06 00:00:00,-613.75
171,"Obama, Barack",Midwest,2012-04-09 00:00:00,-2028.75
172,"Obama, Barack",Midwest,2012-04-10 00:00:00,-2345.0
173,"Obama, Barack",Midwest,2012-04-11 00:00:00,-300.0
174,"Obama, Barack",Midwest,2012-04-12 00:00:00,-1485.0
175,"Obama, Barack",Midwest,2012-04-13 00:00:00,-2596.0
176,"Obama, Barack",Midwest,2012-04-16 00:00:00,-290.0
177,"Obama, Barack",Midwest,2012-04-18 00:00:00,-4263.0
178,"Obama, Barack",Midwest,2012-04-19 00:00:00,-2500.0
179,"Obama, Barack",Midwest,2012-04-23 00:00:00,-5028.0
180,"Obama, Barack",Midwest,2012-04-24 00:00:00,-1485.0
181,"Obama, Barack",Midwest,2012-04-25 00:00:00,-1015.0
182,"Obama, Barack",Midwest,2012-04-26 00:00:00,-8670.0
183,"Obama, Barack",Midwest,2012-04-27 00:00:00,-5000.0
184,"Obama, Barack",Midwest,2012-04-30 00:00:00,-10484.0
185,"Obama, Barack",Midwest,2012-05-01 00:00:00,-700.0
186,"Obama, Barack",Midwest,2012-05-02 00:00:00,-4490.0
187,"Obama, Barack",Midwest,2012-05-03 00:00:00,-5000.0
188,"Obama, Barack",Midwest,2012-05-04 00:00:00,-1973.0
189,"Obama, Barack",Midwest,2012-05-05 00:00:00,-50.0
190,"Obama, Barack",Midwest,2012-05-08 00:00:00,-325.0
191,"Obama, Barack",Midwest,2012-05-09 00:00:00,-400.0
192,"Obama, Barack",Midwest,2012-05-10 00:00:00,-1500.0
193,"Obama, Barack",Midwest,2012-05-11 00:00:00,-2014.5
194,"Obama, Barack",Midwest,2012-05-12 00:00:00,-3975.0
195,"Obama, Barack",Midwest,2012-05-14 00:00:00,-40.0
196,"Obama, Barack",Midwest,2012-05-16 00:00:00,-2888.0
197,"Obama, Barack",Midwest,2012-05-17 00:00:00,-1215.0
198,"Obama, Barack",Midwest,2012-05-18 00:00:00,-1272.4
199,"Obama, Barack",Midwest,2012-05-21 00:00:00,-870.0
200,"Obama, Barack",Midwest,2012-05-22 00:00:00,-6924.360000000001
201,"Obama, Barack",Midwest,2012-05-23 00:00:00,-10965.0
