,cand_nm,contb_receipt_dt_format,contb_receipt_amt
95,"Obama, Barack",2011-07-08 00:00:00,74913.0
96,"Obama, Barack",2011-07-09 00:00:00,7542.0
97,"Obama, Barack",2011-07-10 00:00:00,24306.0
98,"Obama, Barack",2011-07-11 00:00:00,138434.53999999998
99,"Obama, Barack",2011-07-12 00:00:00,142579.56
100,"Obama, Barack",2011-07-13 00:00:00,162753.68
101,"Obama, Barack",2011-07-14 00:00:00,156313.27
102,"Obama, Barack",2011-07-15 00:00:00,143202.0
103,"Obama, Barack",2011-07-16 00:00:00,31928.0
104,"Obama, Barack",2011-07-17 00:00:00,28380.0
105,"Obama, Barack",2011-07-18 00:00:00,121733.44
106,"Obama, Barack",2011-07-19 00:00:00,109180.12
107,"Obama, Barack",2011-07-20 00:00:00,196550.12
108,"Obama, Barack",2011-07-21 00:00:00,203591.11
109,"Obama, Barack",2011-07-22 00:00:00,216885.09
110,"Obama, Barack",2011-07-23 00:00:00,55883.0
111,"Obama, Barack",2011-07-24 00:00:00,21767.0
112,"Obama, Barack",2011-07-25 00:00:00,234383.15
113,"Obama, Barack",2011-07-26 00:00:00,227874.44
114,"Obama, Barack",2011-07-27 00:00:00,190714.28999999995
115,"Obama, Barack",2011-07-28 00:00:00,258952.56
116,"Obama, Barack",2011-07-29 00:00:00,171975.12
117,"Obama, Barack",2011-07-30 00:00:00,27829.0
118,"Obama, Barack",2011-07-31 00:00:00,20305.0
119,"Obama, Barack",2011-08-01 00:00:00,178198.0
120,"Obama, Barack",2011-08-02 00:00:00,165474.11
121,"Obama, Barack",2011-08-03 00:00:00,146378.02
122,"Obama, Barack",2011-08-04 00:00:00,595773.23
123,"Obama, Barack",2011-08-05 00:00:00,193390.12
124,"Obama, Barack",2011-08-06 00:00:00,18190.2
125,"Obama, Barack",2011-08-07 00:00:00,14510.3
126,"Obama, Barack",2011-08-08 00:00:00,203262.88
127,"Obama, Barack",2011-08-09 00:00:00,160720.0
128,"Obama, Barack",2011-08-10 00:00:00,153603.85
129,"Obama, Barack",2011-08-11 00:00:00,107214.12
130,"Obama, Barack",2011-08-12 00:00:00,142589.71000000002
131,"Obama, Barack",2011-08-13 00:00:00,13448.84
132,"Obama, Barack",2011-08-14 00:00:00,33246.0
133,"Obama, Barack",2011-08-15 00:00:00,181787.83000000002
134,"Obama, Barack",2011-08-16 00:00:00,156007.12
135,"Obama, Barack",2011-08-17 00:00:00,160263.44
136,"Obama, Barack",2011-08-18 00:00:00,120234.44
137,"Obama, Barack",2011-08-19 00:00:00,99130.0
138,"Obama, Barack",2011-08-20 00:00:00,13476.0
139,"Obama, Barack",2011-08-21 00:00:00,27489.4
140,"Obama, Barack",2011-08-22 00:00:00,149677.34
141,"Obama, Barack",2011-08-23 00:00:00,143039.24999999997
142,"Obama, Barack",2011-08-24 00:00:00,159946.11999999997
143,"Obama, Barack",2011-08-25 00:00:00,216567.37
144,"Obama, Barack",2011-08-26 00:00:00,240103.39
145,"Obama, Barack",2011-08-27 00:00:00,24266.0
146,"Obama, Barack",2011-08-28 00:00:00,45826.0
147,"Obama, Barack",2011-08-29 00:00:00,221637.5
148,"Obama, Barack",2011-08-30 00:00:00,86264.65000000001
149,"Obama, Barack",2011-08-31 00:00:00,364905.44
