,cand_nm,census_region,contb_receipt_dt_format,contb_receipt_amt
93,"Obama, Barack",Midwest,2011-07-06 00:00:00,12790.0
94,"Obama, Barack",Midwest,2011-07-07 00:00:00,9724.0
95,"Obama, Barack",Midwest,2011-07-08 00:00:00,11271.0
96,"Obama, Barack",Midwest,2011-07-09 00:00:00,3510.0
97,"Obama, Barack",Midwest,2011-07-10 00:00:00,2851.0
98,"Obama, Barack",Midwest,2011-07-11 00:00:00,23033.84
99,"Obama, Barack",Midwest,2011-07-12 00:00:00,26616.0
100,"Obama, Barack",Midwest,2011-07-13 00:00:00,28138.239999999998
101,"Obama, Barack",Midwest,2011-07-14 00:00:00,21332.0
102,"Obama, Barack",Midwest,2011-07-15 00:00:00,56745.0
103,"Obama, Barack",Midwest,2011-07-16 00:00:00,12372.0
104,"Obama, Barack",Midwest,2011-07-17 00:00:00,5729.0
105,"Obama, Barack",Midwest,2011-07-18 00:00:00,20650.0
106,"Obama, Barack",Midwest,2011-07-19 00:00:00,23218.120000000003
107,"Obama, Barack",Midwest,2011-07-20 00:00:00,42146.0
108,"Obama, Barack",Midwest,2011-07-21 00:00:00,37134.0
109,"Obama, Barack",Midwest,2011-07-22 00:00:00,44585.0
110,"Obama, Barack",Midwest,2011-07-23 00:00:00,11494.0
111,"Obama, Barack",Midwest,2011-07-24 00:00:00,4093.0
112,"Obama, Barack",Midwest,2011-07-25 00:00:00,33547.0
113,"Obama, Barack",Midwest,2011-07-26 00:00:00,45354.4
114,"Obama, Barack",Midwest,2011-07-27 00:00:00,72062.0
115,"Obama, Barack",Midwest,2011-07-28 00:00:00,43308.0
116,"Obama, Barack",Midwest,2011-07-29 00:00:00,46404.0
117,"Obama, Barack",Midwest,2011-07-30 00:00:00,2809.0
118,"Obama, Barack",Midwest,2011-07-31 00:00:00,1714.0
119,"Obama, Barack",Midwest,2011-08-01 00:00:00,32639.0
120,"Obama, Barack",Midwest,2011-08-02 00:00:00,34969.119999999995
121,"Obama, Barack",Midwest,2011-08-03 00:00:00,18929.5
122,"Obama, Barack",Midwest,2011-08-04 00:00:00,85219.52
123,"Obama, Barack",Midwest,2011-08-05 00:00:00,30559.0
124,"Obama, Barack",Midwest,2011-08-06 00:00:00,2377.0
125,"Obama, Barack",Midwest,2011-08-07 00:00:00,2337.0
126,"Obama, Barack",Midwest,2011-08-08 00:00:00,17417.88
127,"Obama, Barack",Midwest,2011-08-09 00:00:00,19253.0
128,"Obama, Barack",Midwest,2011-08-10 00:00:00,23218.44
129,"Obama, Barack",Midwest,2011-08-11 00:00:00,13844.0
130,"Obama, Barack",Midwest,2011-08-12 00:00:00,29202.4
131,"Obama, Barack",Midwest,2011-08-13 00:00:00,1445.84
132,"Obama, Barack",Midwest,2011-08-14 00:00:00,3969.0
133,"Obama, Barack",Midwest,2011-08-15 00:00:00,16812.5
134,"Obama, Barack",Midwest,2011-08-16 00:00:00,40057.0
135,"Obama, Barack",Midwest,2011-08-17 00:00:00,34738.0
136,"Obama, Barack",Midwest,2011-08-18 00:00:00,17021.0
137,"Obama, Barack",Midwest,2011-08-19 00:00:00,12168.0
138,"Obama, Barack",Midwest,2011-08-20 00:00:00,918.0
139,"Obama, Barack",Midwest,2011-08-21 00:00:00,708.4
140,"Obama, Barack",Midwest,2011-08-22 00:00:00,28962.4
141,"Obama, Barack",Midwest,2011-08-23 00:00:00,39202.4
142,"Obama, Barack",Midwest,2011-08-24 00:00:00,25104.120000000003
143,"Obama, Barack",Midwest,2011-08-25 00:00:00,27382.0
144,"Obama, Barack",Midwest,2011-08-26 00:00:00,27747.0
145,"Obama, Barack",Midwest,2011-08-27 00:00:00,3335.0
146,"Obama, Barack",Midwest,2011-08-28 00:00:00,6369.0
147,"Obama, Barack",Midwest,2011-08-29 00:00:00,17005.0
148,"Obama, Barack",Midwest,2011-08-30 00:00:00,8760.0
149,"Obama, Barack",Midwest,2011-08-31 00:00:00,43070.0
150,"Obama, Barack",Midwest,2011-09-01 00:00:00,42688.5
151,"Obama, Barack",Midwest,2011-09-02 00:00:00,18790.0
152,"Obama, Barack",Midwest,2011-09-03 00:00:00,12340.0
153,"Obama, Barack",Midwest,2011-09-04 00:00:00,4220.0
154,"Obama, Barack",Midwest,2011-09-05 00:00:00,4395.0
155,"Obama, Barack",Midwest,2011-09-06 00:00:00,18167.9
156,"Obama, Barack",Midwest,2011-09-07 00:00:00,34757.0
157,"Obama, Barack",Midwest,2011-09-08 00:00:00,46850.0
158,"Obama, Barack",Midwest,2011-09-09 00:00:00,28575.0
159,"Obama, Barack",Midwest,2011-09-10 00:00:00,3651.0
160,"Obama, Barack",Midwest,2011-09-11 00:00:00,2460.0
161,"Obama, Barack",Midwest,2011-09-12 00:00:00,23887.120000000003
162,"Obama, Barack",Midwest,2011-09-13 00:00:00,28431.84
163,"Obama, Barack",Midwest,2011-09-14 00:00:00,65959.8
164,"Obama, Barack",Midwest,2011-09-15 00:00:00,22976.0
165,"Obama, Barack",Midwest,2011-09-16 00:00:00,102968.56999999999
166,"Obama, Barack",Midwest,2011-09-17 00:00:00,12240.02
167,"Obama, Barack",Midwest,2011-09-18 00:00:00,18677.0
168,"Obama, Barack",Midwest,2011-09-19 00:00:00,45280.4
169,"Obama, Barack",Midwest,2011-09-20 00:00:00,97569.09
170,"Obama, Barack",Midwest,2011-09-21 00:00:00,67266.48999999999
171,"Obama, Barack",Midwest,2011-09-22 00:00:00,31177.0
172,"Obama, Barack",Midwest,2011-09-23 00:00:00,50281.5
173,"Obama, Barack",Midwest,2011-09-24 00:00:00,7565.0
174,"Obama, Barack",Midwest,2011-09-25 00:00:00,25230.0
175,"Obama, Barack",Midwest,2011-09-26 00:00:00,71877.28
176,"Obama, Barack",Midwest,2011-09-27 00:00:00,176301.16
177,"Obama, Barack",Midwest,2011-09-28 00:00:00,171964.4700000001
178,"Obama, Barack",Midwest,2011-09-29 00:00:00,143364.76
179,"Obama, Barack",Midwest,2011-09-30 00:00:00,1791892.8699999999
180,"Obama, Barack",Midwest,2011-10-01 00:00:00,20040.0
181,"Obama, Barack",Midwest,2011-10-02 00:00:00,5579.0
182,"Obama, Barack",Midwest,2011-10-03 00:00:00,72033.0
183,"Obama, Barack",Midwest,2011-10-04 00:00:00,15133.0
184,"Obama, Barack",Midwest,2011-10-05 00:00:00,28199.5
185,"Obama, Barack",Midwest,2011-10-06 00:00:00,30646.0
186,"Obama, Barack",Midwest,2011-10-07 00:00:00,16265.5
187,"Obama, Barack",Midwest,2011-10-08 00:00:00,4363.0
