,cand_nm,economic_region,contb_receipt_dt_format,contb_receipt_amt
95,"Obama, Barack",Far West,2011-07-08 00:00:00,7869.0
96,"Obama, Barack",Far West,2011-07-09 00:00:00,1548.0
97,"Obama, Barack",Far West,2011-07-10 00:00:00,7495.0
98,"Obama, Barack",Far West,2011-07-11 00:00:00,17401.0
99,"Obama, Barack",Far West,2011-07-12 00:00:00,16159.0
100,"Obama, Barack",Far West,2011-07-13 00:00:00,41662.44
101,"Obama, Barack",Far West,2011-07-14 00:00:00,37766.0
102,"Obama, Barack",Far West,2011-07-15 00:00:00,14730.0
103,"Obama, Barack",Far West,2011-07-16 00:00:00,4861.0
104,"Obama, Barack",Far West,2011-07-17 00:00:00,7931.0
105,"Obama, Barack",Far West,2011-07-18 00:00:00,24869.0
106,"Obama, Barack",Far West,2011-07-19 00:00:00,7688.0
107,"Obama, Barack",Far West,2011-07-20 00:00:00,24284.0
108,"Obama, Barack",Far West,2011-07-21 00:00:00,33543.11
109,"Obama, Barack",Far West,2011-07-22 00:00:00,40147.0
110,"Obama, Barack",Far West,2011-07-23 00:00:00,10590.0
111,"Obama, Barack",Far West,2011-07-24 00:00:00,1899.0
112,"Obama, Barack",Far West,2011-07-25 00:00:00,57415.0
113,"Obama, Barack",Far West,2011-07-26 00:00:00,54538.0
114,"Obama, Barack",Far West,2011-07-27 00:00:00,43191.0
115,"Obama, Barack",Far West,2011-07-28 00:00:00,38432.5
116,"Obama, Barack",Far West,2011-07-29 00:00:00,23876.0
117,"Obama, Barack",Far West,2011-07-30 00:00:00,4042.0
118,"Obama, Barack",Far West,2011-07-31 00:00:00,5058.0
119,"Obama, Barack",Far West,2011-08-01 00:00:00,39167.0
120,"Obama, Barack",Far West,2011-08-02 00:00:00,29062.440000000002
121,"Obama, Barack",Far West,2011-08-03 00:00:00,22426.12
122,"Obama, Barack",Far West,2011-08-04 00:00:00,145424.07
123,"Obama, Barack",Far West,2011-08-05 00:00:00,46081.0
124,"Obama, Barack",Far West,2011-08-06 00:00:00,5785.0
125,"Obama, Barack",Far West,2011-08-07 00:00:00,4460.0
126,"Obama, Barack",Far West,2011-08-08 00:00:00,40748.0
127,"Obama, Barack",Far West,2011-08-09 00:00:00,15923.44
128,"Obama, Barack",Far West,2011-08-10 00:00:00,42207.0
129,"Obama, Barack",Far West,2011-08-11 00:00:00,25519.0
130,"Obama, Barack",Far West,2011-08-12 00:00:00,29501.0
131,"Obama, Barack",Far West,2011-08-13 00:00:00,2191.0
132,"Obama, Barack",Far West,2011-08-14 00:00:00,7860.0
133,"Obama, Barack",Far West,2011-08-15 00:00:00,34094.0
134,"Obama, Barack",Far West,2011-08-16 00:00:00,28168.0
135,"Obama, Barack",Far West,2011-08-17 00:00:00,36226.44
136,"Obama, Barack",Far West,2011-08-18 00:00:00,26077.0
137,"Obama, Barack",Far West,2011-08-19 00:00:00,27102.0
138,"Obama, Barack",Far West,2011-08-20 00:00:00,3138.0
139,"Obama, Barack",Far West,2011-08-21 00:00:00,2927.0
140,"Obama, Barack",Far West,2011-08-22 00:00:00,28217.38
141,"Obama, Barack",Far West,2011-08-23 00:00:00,26229.18
142,"Obama, Barack",Far West,2011-08-24 00:00:00,33502.0
143,"Obama, Barack",Far West,2011-08-25 00:00:00,52135.25
144,"Obama, Barack",Far West,2011-08-26 00:00:00,50146.0
145,"Obama, Barack",Far West,2011-08-27 00:00:00,5209.0
146,"Obama, Barack",Far West,2011-08-28 00:00:00,9840.0
147,"Obama, Barack",Far West,2011-08-29 00:00:00,47167.0
148,"Obama, Barack",Far West,2011-08-30 00:00:00,33110.11
149,"Obama, Barack",Far West,2011-08-31 00:00:00,88880.0
150,"Obama, Barack",Far West,2011-09-01 00:00:00,130425.12
