,cand_nm,contb_receipt_dt_format,contb_receipt_amt
35,"Obama, Barack",2011-05-09 00:00:00,297529.0
36,"Obama, Barack",2011-05-10 00:00:00,298543.41
37,"Obama, Barack",2011-05-11 00:00:00,296747.88
38,"Obama, Barack",2011-05-12 00:00:00,246405.0
39,"Obama, Barack",2011-05-13 00:00:00,278259.12
40,"Obama, Barack",2011-05-14 00:00:00,118236.0
41,"Obama, Barack",2011-05-15 00:00:00,55005.0
42,"Obama, Barack",2011-05-16 00:00:00,270682.0
43,"Obama, Barack",2011-05-17 00:00:00,273444.0
44,"Obama, Barack",2011-05-18 00:00:00,309247.52
45,"Obama, Barack",2011-05-19 00:00:00,195551.0
46,"Obama, Barack",2011-05-20 00:00:00,259142.0
47,"Obama, Barack",2011-05-21 00:00:00,24559.0
48,"Obama, Barack",2011-05-22 00:00:00,29978.0
49,"Obama, Barack",2011-05-23 00:00:00,215905.12
50,"Obama, Barack",2011-05-24 00:00:00,151563.84
51,"Obama, Barack",2011-05-25 00:00:00,227401.03
52,"Obama, Barack",2011-05-26 00:00:00,145515.0
53,"Obama, Barack",2011-05-27 00:00:00,172311.0
54,"Obama, Barack",2011-05-28 00:00:00,36096.0
55,"Obama, Barack",2011-05-29 00:00:00,22123.0
56,"Obama, Barack",2011-05-30 00:00:00,30660.0
57,"Obama, Barack",2011-05-31 00:00:00,312263.66
58,"Obama, Barack",2011-06-01 00:00:00,143879.0
59,"Obama, Barack",2011-06-02 00:00:00,372358.0
60,"Obama, Barack",2011-06-03 00:00:00,289652.2
61,"Obama, Barack",2011-06-04 00:00:00,57635.0
62,"Obama, Barack",2011-06-05 00:00:00,51321.0
63,"Obama, Barack",2011-06-06 00:00:00,345956.0
64,"Obama, Barack",2011-06-07 00:00:00,444388.44
65,"Obama, Barack",2011-06-08 00:00:00,365410.0
66,"Obama, Barack",2011-06-09 00:00:00,377594.0
67,"Obama, Barack",2011-06-10 00:00:00,437946.31
68,"Obama, Barack",2011-06-11 00:00:00,118055.0
69,"Obama, Barack",2011-06-12 00:00:00,154584.0
70,"Obama, Barack",2011-06-13 00:00:00,382806.5
71,"Obama, Barack",2011-06-14 00:00:00,361424.0
72,"Obama, Barack",2011-06-15 00:00:00,697060.7000000001
73,"Obama, Barack",2011-06-16 00:00:00,647575.0
74,"Obama, Barack",2011-06-17 00:00:00,322441.0
75,"Obama, Barack",2011-06-18 00:00:00,82934.98999999999
76,"Obama, Barack",2011-06-19 00:00:00,106542.12
77,"Obama, Barack",2011-06-20 00:00:00,248922.0
78,"Obama, Barack",2011-06-21 00:00:00,432059.0
79,"Obama, Barack",2011-06-22 00:00:00,398085.0
